 Duration(s) Distance(steps)     Force(N)  Amperage(A)
      38.093       52336.000      127.860       43.560
      38.182       52536.000      208.140       45.330
      38.321       52736.000      152.270       45.200
      38.461       52936.000      189.590       43.440
      38.592       53136.000      158.740       42.260
      38.728       53336.000      234.640       44.580
      38.868       53536.000      227.890       44.360
      39.008       53736.000      143.210       41.840
      39.485       53936.000      133.560       42.050
      39.522       54136.000      194.030       43.300
      39.552       54336.000      147.670       42.540
      39.585       54536.000      115.330       41.120
      39.751       54736.000      123.790       42.350
      39.950       54936.000      174.720       43.110
      39.983       55136.000      138.700       40.840
      40.114       55336.000      175.320       40.090
      40.237       55536.000      100.730       42.090
      40.377       55736.000      170.270       42.320
      40.519       55936.000      158.140       39.480
      40.659       56136.000      161.600       39.290
      40.798       56336.000      181.250       40.960
      40.937       56536.000      147.970       40.980
      41.129       56736.000      178.790       38.700
      41.219       56936.000      185.430       40.340
      41.344       57136.000      172.000       40.400
      41.484       57336.000      255.530       39.220
      41.626       57536.000      235.510       37.930
      41.765       57736.000      175.660       39.440
      42.022       57936.000      208.410       39.740
      42.054       58136.000      184.190       37.360
      42.172       58336.000       85.360       37.280
      42.368       58536.000      142.490       38.530
      42.452       58736.000      138.040       39.330
      42.611       58936.000      224.120       36.780
      42.734       59136.000      228.110       36.980
      42.858       59336.000      224.390       38.120
      43.169       59536.000      148.250       37.660
      43.202       59736.000      177.490       36.260
      43.295       59936.000       47.900       37.900
      43.419       60136.000       80.140       37.610
      43.560       60336.000      139.800       35.670
      43.702       60536.000      126.480       35.010
      43.828       60736.000      205.560       37.410
      43.968       60936.000      162.040       37.010
      44.113       61136.000      162.980       35.290
      44.235       61336.000      100.860       34.200
      44.374       61536.000      130.530       36.490
      44.515       61736.000       82.080       35.980
      44.691       61936.000      132.060       34.490
      44.796       62136.000      147.520       34.540
      44.935       62336.000      130.470       35.630
      45.077       62536.000      147.070       34.310
      45.221       62736.000      119.110       33.700
      45.341       62936.000      150.960       35.290
      45.480       63136.000      198.610       34.900
      45.621       63336.000      125.550       32.970
      45.829       63536.000      151.550       32.810
      45.903       63736.000      128.760       34.410
      46.043       63936.000      103.240       34.680
      46.165       64136.000      122.560       32.320
      46.306       64336.000      138.820       32.270
      46.450       64536.000       75.240       33.650
      46.607       64736.000      117.620       33.380
      46.729       64936.000       73.030       31.680
      46.869       65136.000      120.940       32.950
      47.046       65336.000      122.220       33.230
      47.136       65536.000      151.940       31.970
      47.276       65736.000      115.530       30.820
      47.414       65936.000      144.240       32.870
      47.555       66136.000      153.550       32.490
      47.982       66336.000      131.610       31.670
      48.015       66536.000      189.550       30.420
      48.046       66736.000       76.020       31.480
      48.170       66936.000      122.440       32.090
      48.265       67136.000      172.290       30.180
      48.377       67336.000      197.760       29.810
      48.519       67536.000      163.560       30.990
      48.645       67736.000       94.610       31.160
      48.875       67936.000      151.080       29.910
      48.939       68136.000      111.670       29.220
      49.065       68336.000      120.530       30.400
      49.206       68536.000      192.910       31.130
      49.365       68736.000      323.100       29.440
      49.471       68936.000      450.110       29.180
      49.610       69136.000      450.090       29.920
      49.751       69336.000      392.160       30.460
      49.891       69536.000      334.820       28.970
      50.033       69736.000      360.490       28.370
      50.172       69936.000      356.130       29.130
